pk,token_indices,weights
9200,"[9, 2, 504, 575, 21, 1036]","[1.3843317, 0.9135472, 4.7004805, 4.8533316, 1.8061006, 5.54257]"
9201,"[5, 30, 83, 29, 2, 122, 12, 11, 9, 36, 276, 24, 659, 407, 14, 11, 193, 33, 36, 11, 248, 180, 33, 1036]","[1.2280477, 2.1291559, 2.9994752, 2.103904, 0.9135472, 3.3410935, 1.4113835, 4.2341504, 1.3843317, 4.5179005, 4.1679564, 1.8580694, 5.034352, 4.7004805, 1.6516291, 4.2341504, 3.8854222, 4.6004586, 4.5179005, 4.2341504, 4.016383, 3.7702034, 4.6004586, 5.54257]"
9202,"[344, 23, 8, 11, 176, 3, 537, 228, 152, 12, 2170, 358]","[4.568247, 1.7681279, 1.2845422, 1.4113835, 3.7174158, 1.0370923, 4.8533316, 4.016383, 3.6674004, 1.4113835, 5.9467287, 4.45176]"
9203,"[965, 5, 9, 21, 1014, 789, 23, 230, 27, 2, 53, 871, 138, 7, 12]","[5.54257, 1.2280477, 1.3843317, 1.8061006, 5.54257, 5.256192, 1.7681279, 3.9486763, 1.9745326, 0.9135472, 2.57346, 5.256192, 3.5746412, 1.2920218, 1.4113835]"
9204,"[56, 193, 5, 76, 42]","[2.5589216, 3.8854222, 1.2280477, 2.9091341, 2.310884]"
9205,"[2, 179, 318, 99, 22, 327, 34, 5, 54, 3, 687, 12, 5, 18, 33, 3, 535, 91, 1097, 4, 2, 1234, 7, 765, 8, 72, 21, 1850, 4, 5, 51, 21, 22, 27, 169, 1071, 485, 4, 811]","[1.8270944, 3.7174158, 4.45176, 3.2430964, 3.6923892, 4.45176, 2.1914208, 3.684143, 2.6186116, 2.0741847, 5.034352, 1.4113835, 3.684143, 1.9140218, 2.3002293, 2.0741847, 4.8533316, 3.099842, 5.54257, 3.0435877, 1.8270944, 5.54257, 1.2920218, 5.256192, 1.2845422, 2.9531727, 3.6122012, 5.9467287, 3.0435877, 3.684143, 2.4897258, 3.6122012, 3.6923892, 1.9745326, 3.7174158, 5.54257, 4.7004805, 3.0435877, 5.256192]"
9206,"[4, 49, 34, 5, 51, 687, 2, 318, 5, 18, 21, 912, 6, 1258, 917, 14, 2, 469, 1277, 18, 33, 36, 35, 3, 83, 2, 426, 407, 318, 81, 5, 18, 33, 229, 10, 6, 770, 58, 37, 21, 129, 35, 13, 143, 61, 919]","[1.0145292, 2.4507656, 2.1914208, 3.684143, 2.4897258, 5.034352, 2.7406416, 8.90352, 3.684143, 5.7420654, 3.6122012, 5.256192, 2.3867493, 5.54257, 5.54257, 1.6516291, 2.7406416, 4.7004805, 5.54257, 5.7420654, 4.6004586, 2.2589502, 4.364443, 1.0370923, 2.9994752, 2.7406416, 4.568247, 4.7004805, 8.90352, 2.9760273, 3.684143, 5.7420654, 4.6004586, 3.9486763, 1.3726887, 2.3867493, 5.256192, 2.588249, 2.229313, 3.6122012, 3.41267, 4.364443, 1.5005196, 3.5746412, 2.6995292, 5.256192]"
9207,"[2, 469, 1277, 8, 2, 1258, 413, 1566, 4, 16, 62, 729]","[1.8270944, 4.7004805, 5.54257, 1.2845422, 1.8270944, 5.54257, 4.568247, 5.9467287, 1.0145292, 1.7576411, 2.6995292, 5.256192]"
9208,"[56, 58, 34, 5, 1709, 1612]","[2.5589216, 2.588249, 2.1914208, 1.2280477, 5.9467287, 5.9467287]"
9209,"[23, 12, 18, 31, 854, 1536, 4, 737, 14, 10, 426, 389, 7, 1027, 15, 9, 154, 177, 715, 36, 218]","[1.7681279, 1.4113835, 1.9140218, 2.1291559, 5.256192, 5.9467287, 1.0145292, 5.256192, 1.6516291, 1.3726887, 4.568247, 4.568247, 1.2920218, 5.54257, 1.6383634, 1.3843317, 3.7174158, 3.7702034, 5.256192, 2.2589502, 3.8854222]"
9210,"[6, 343, 18, 248, 104, 132, 16, 2, 495, 29, 2, 1947, 2045, 886, 1294, 6, 127, 7, 372, 13, 1995, 1010, 4, 2677, 2, 2328, 1730, 21, 3, 136, 71, 2484, 14, 2, 495, 2569, 12, 216, 8, 289, 218, 23, 12, 544, 54, 1307]","[2.3867493, 4.347694, 1.9140218, 4.016383, 3.1830916, 3.4506223, 1.7576411, 3.6541889, 9.706663, 2.103904, 3.6541889, 5.9467287, 5.9467287, 5.256192, 5.54257, 2.3867493, 3.41267, 1.2920218, 4.568247, 1.5005196, 5.9467287, 5.54257, 1.0145292, 5.9467287, 3.6541889, 5.9467287, 5.9467287, 1.8061006, 1.0370923, 3.4901745, 2.8468866, 5.9467287, 1.6516291, 3.6541889, 9.706663, 5.9467287, 2.822767, 3.8854222, 1.2845422, 4.1679564, 3.8854222, 1.7681279, 2.822767, 4.8533316, 2.6186116, 5.9467287]"
9211,"[4, 295, 53, 18, 5, 33, 36, 667, 447, 10, 41, 2514]","[1.0145292, 4.2536764, 2.57346, 1.9140218, 1.2280477, 2.3002293, 2.2589502, 5.034352, 4.7004805, 1.3726887, 2.310884, 5.9467287]"
9212,"[15, 51, 10, 566, 916, 29, 2248, 1598, 87, 459, 24, 38, 143, 169, 337, 100, 4, 49, 220, 85, 1136, 65, 510]","[1.6383634, 2.4897258, 1.3726887, 4.8533316, 5.256192, 2.103904, 5.9467287, 5.9467287, 3.0736938, 4.7004805, 1.8580694, 2.2007272, 3.5746412, 3.7174158, 4.347694, 3.2126062, 1.0145292, 2.4507656, 3.8854222, 3.0482748, 5.54257, 2.7701347, 4.8533316]"
9213,"[5, 8, 72, 420, 1465, 27, 41, 152, 450, 3, 2378, 3, 74, 32, 7, 2, 122, 55, 2, 575, 455, 464, 3, 327]","[1.2280477, 1.2845422, 2.9531727, 4.568247, 5.9467287, 1.9745326, 2.310884, 3.6674004, 4.7004805, 3.111277, 5.9467287, 3.111277, 2.9308836, 2.1122313, 1.2920218, 1.8270944, 3.3410935, 2.6032968, 1.8270944, 4.8533316, 4.7004805, 4.7004805, 3.111277, 4.45176]"
9214,"[35, 8, 13, 1247, 823, 22, 2, 43, 410, 6, 86]","[2.1822214, 1.2845422, 1.5005196, 5.54257, 5.256192, 1.8461946, 0.9135472, 2.3549404, 4.568247, 1.1933746, 3.0482748]"
9215,"[15, 607, 2526, 8, 6, 1913, 464, 3, 327]","[1.6383634, 5.034352, 5.9467287, 1.2845422, 1.1933746, 5.9467287, 4.7004805, 1.0370923, 4.45176]"
9216,"[291, 70, 272, 3, 81, 606, 12, 2163, 192]","[4.1679564, 2.9994752, 4.2536764, 1.0370923, 2.9760273, 5.034352, 1.4113835, 5.9467287, 3.8260806]"
9217,"[15, 8, 532, 55, 5, 167, 6, 302, 192, 2636, 11, 30, 207, 31, 1732, 14, 2, 192, 5, 9, 9, 89]","[1.6383634, 1.2845422, 4.8533316, 2.6032968, 2.4560955, 3.7702034, 1.1933746, 4.2536764, 7.652161, 5.9467287, 1.4113835, 2.1291559, 3.8260806, 2.1291559, 5.9467287, 1.6516291, 0.9135472, 7.652161, 2.4560955, 2.7686634, 2.7686634, 3.0736938]"
9218,"[14, 34, 29, 872, 827, 19, 35, 8, 13, 1076, 4, 1406, 1556, 803, 10, 16, 11, 2, 251, 30, 31, 80, 32, 22, 75, 23, 45, 35, 8, 13, 456, 7, 2296, 98, 80, 57, 1408, 547, 2, 2115, 1386, 294, 5, 9, 167, 783, 79, 21]","[1.6516291, 2.1914208, 2.103904, 5.256192, 5.256192, 1.8461946, 4.364443, 2.5690844, 3.0010393, 5.54257, 1.0145292, 5.9467287, 5.9467287, 5.256192, 1.3726887, 1.7576411, 1.4113835, 1.8270944, 4.0892034, 2.1291559, 2.1291559, 6.047094, 2.1122313, 1.8461946, 2.9091341, 1.7681279, 2.3437033, 4.364443, 2.5690844, 3.0010393, 4.7004805, 1.2920218, 5.9467287, 3.1830916, 6.047094, 2.666253, 5.9467287, 4.8533316, 1.8270944, 5.9467287, 5.9467287, 4.347694, 1.2280477, 1.3843317, 3.7702034, 5.256192, 2.9760273, 1.8061006]"
9219,"[15, 9, 115, 3, 288, 13, 425, 708, 4, 1182, 120, 23, 10, 2, 1241, 2431, 44, 16, 615, 344, 47, 344, 1472, 217, 423, 48, 42, 2, 686, 10, 37, 192, 230, 30, 21, 31, 330, 543, 152, 2, 929, 43, 14, 6, 47, 8, 1663, 16, 41, 855, 4, 1614, 108]","[1.6383634, 1.3843317, 3.3761961, 1.0370923, 4.1679564, 1.5005196, 4.568247, 5.034352, 2.0290585, 5.54257, 3.3410935, 1.7681279, 2.7453773, 2.7406416, 5.54257, 5.9467287, 2.366332, 3.5152822, 5.034352, 9.136494, 4.927107, 9.136494, 5.9467287, 4.016383, 4.568247, 2.4381692, 2.310884, 2.7406416, 5.034352, 2.7453773, 2.229313, 3.8260806, 3.9486763, 2.1291559, 1.8061006, 2.1291559, 4.347694, 4.8533316, 3.6674004, 2.7406416, 5.54257, 2.3549404, 1.6516291, 1.1933746, 4.927107, 1.2845422, 5.9467287, 3.5152822, 2.310884, 5.256192, 2.0290585, 5.9467287, 3.2126062]"
9220,"[23, 41, 531, 497, 80, 2, 73, 1091, 7, 2, 112, 501, 12, 15, 123, 52, 2242, 8, 72, 22, 183, 4, 105, 6, 40, 107, 822, 22, 63, 7, 2, 141, 313, 655, 23, 16, 6, 1174]","[3.5362558, 2.310884, 4.8533316, 4.7004805, 3.023547, 2.7406416, 2.9091341, 5.54257, 2.5840435, 2.7406416, 3.2746258, 4.7004805, 1.4113835, 1.6383634, 3.3410935, 2.716655, 5.9467287, 1.2845422, 2.9531727, 3.6923892, 3.7174158, 1.0145292, 3.2430964, 2.3867493, 2.2690754, 3.2430964, 5.256192, 3.6923892, 2.7519443, 2.5840435, 2.7406416, 3.7702034, 4.347694, 5.034352, 3.5362558, 1.7576411, 2.3867493, 5.54257]"
9221,"[15, 15, 5, 249, 295, 447, 4, 87, 13, 531, 77, 5, 249, 84, 16, 13, 1352, 2371, 10, 6, 192, 15]","[4.91509, 4.91509, 2.4560955, 8.178407, 4.2536764, 4.7004805, 1.0145292, 3.0736938, 3.0010393, 4.8533316, 3.023547, 2.4560955, 8.178407, 3.0482748, 1.7576411, 3.0010393, 5.9467287, 5.9467287, 1.3726887, 1.1933746, 3.8260806, 4.91509]"
9222,"[15, 22, 2, 73, 141, 43, 6, 39, 107, 1810, 15]","[3.2767267, 1.8461946, 0.9135472, 2.9091341, 3.7702034, 2.3549404, 1.1933746, 2.2390716, 3.2430964, 5.9467287, 3.2767267]"
9223,"[1280, 70, 100]","[5.54257, 2.9994752, 3.2126062]"
9224,"[76, 70, 409, 250, 15, 707, 3, 442, 528, 217, 621, 42, 283, 109, 312, 3, 620, 27, 2, 1535, 29, 6, 192, 66, 2265, 94, 341, 4, 1053, 143, 1836, 443, 199, 1127, 345]","[2.9091341, 2.9994752, 4.568247, 4.016383, 1.6383634, 5.034352, 2.0741847, 4.568247, 4.8533316, 4.016383, 5.034352, 2.310884, 4.1679564, 3.2430964, 4.2536764, 2.0741847, 5.034352, 1.9745326, 0.9135472, 5.9467287, 2.103904, 1.1933746, 3.8260806, 2.7519443, 5.9467287, 3.1267605, 4.347694, 1.0145292, 5.54257, 3.5746412, 5.9467287, 4.568247, 3.7702034, 5.54257, 4.45176]"
9225,"[6, 40, 99, 46, 3, 6, 441, 23, 6, 39, 937, 15, 92, 2, 43, 64, 1269, 7, 70, 15, 308, 9, 62, 101, 7, 792, 2, 43, 4, 419, 2445, 44, 24, 6, 1247, 481, 1292, 29, 6, 347, 7, 1970, 27, 313, 22, 303, 49, 55, 5, 8, 22, 183]","[5.966873, 2.2690754, 3.2430964, 2.3778827, 1.0370923, 5.966873, 4.7004805, 1.7681279, 5.966873, 2.2390716, 5.54257, 3.2767267, 3.2126062, 1.8270944, 4.709881, 2.9531727, 5.54257, 3.8760653, 2.9994752, 3.2767267, 4.2536764, 1.3843317, 2.6995292, 3.1830916, 3.8760653, 5.256192, 1.8270944, 4.709881, 1.0145292, 4.568247, 5.9467287, 2.366332, 1.8580694, 5.966873, 5.54257, 4.7004805, 5.54257, 2.103904, 5.966873, 4.45176, 3.8760653, 5.9467287, 1.9745326, 4.347694, 3.6923892, 4.347694, 2.4507656, 2.6032968, 1.2280477, 1.2845422, 3.6923892, 3.7174158]"
9226,"[2, 75, 274, 5, 115, 3, 76, 8, 3, 74, 48, 10, 404, 82, 129, 673, 3, 74, 334, 4, 281, 7, 27, 3, 33, 6, 441]","[0.9135472, 2.9091341, 4.2536764, 1.2280477, 3.3761961, 4.1483693, 2.9091341, 1.2845422, 4.1483693, 5.8617673, 2.4381692, 1.3726887, 4.568247, 3.0736938, 3.41267, 5.034352, 4.1483693, 5.8617673, 4.347694, 1.0145292, 4.1679564, 1.2920218, 1.9745326, 4.1483693, 2.3002293, 1.1933746, 4.7004805]"
